currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/14 11:58:15,1,0,false,false,false,0%,20412MV,191MA,00:00:00
2016/05/14 11:58:45,1,0,false,false,false,0%,22470MV,191MA,00:00:29
2016/05/14 11:59:15,1,0,false,false,false,0%,22911MV,191MA,00:00:59
2016/05/14 11:59:45,1,0,false,false,false,0%,23205MV,191MA,00:01:29
2016/05/14 12:00:15,1,0,false,false,false,7%,23373MV,191MA,00:01:59
2016/05/14 12:00:45,1,0,false,false,false,7%,23499MV,191MA,00:02:29
2016/05/14 12:01:15,1,0,false,false,false,7%,23625MV,193MA,00:02:59
2016/05/14 12:01:45,1,0,false,false,false,7%,23730MV,191MA,00:03:29
2016/05/14 12:02:15,1,0,false,false,false,7%,23814MV,191MA,00:03:59
2016/05/14 12:02:45,1,0,false,false,false,7%,23877MV,191MA,00:04:29
2016/05/14 12:03:15,1,0,false,false,false,7%,23940MV,191MA,00:04:59
2016/05/14 12:03:45,1,0,false,false,false,7%,23982MV,191MA,00:05:29
2016/05/14 12:04:15,1,0,false,false,false,7%,24024MV,191MA,00:05:59
2016/05/14 12:04:45,1,0,false,false,false,7%,24045MV,193MA,00:06:29
2016/05/14 12:05:15,1,0,false,false,false,7%,24045MV,193MA,00:06:59
2016/05/14 12:05:45,1,0,false,false,false,7%,24066MV,191MA,00:07:29
2016/05/14 12:06:15,1,0,false,false,false,7%,24087MV,191MA,00:07:59
2016/05/14 12:06:45,1,0,false,false,false,7%,24108MV,193MA,00:08:29
2016/05/14 12:07:15,1,0,false,false,false,7%,24108MV,191MA,00:08:59
2016/05/14 12:07:45,1,0,false,false,false,7%,24129MV,193MA,00:09:29
2016/05/14 12:08:15,1,0,false,false,false,7%,24129MV,193MA,00:09:59
2016/05/14 12:08:45,1,0,false,false,false,7%,24129MV,193MA,00:10:29
2016/05/14 12:09:15,1,0,false,false,false,7%,24150MV,193MA,00:10:59
2016/05/14 12:09:45,1,0,false,false,false,7%,24150MV,193MA,00:11:29
2016/05/14 12:10:15,1,0,false,false,false,7%,24171MV,193MA,00:11:59
2016/05/14 12:10:45,1,0,false,false,false,7%,24171MV,191MA,00:12:29
2016/05/14 12:11:15,1,0,false,false,false,7%,24171MV,193MA,00:12:59
2016/05/14 12:11:45,1,0,false,false,false,7%,24171MV,191MA,00:13:29
2016/05/14 12:12:15,1,0,false,false,false,7%,24192MV,193MA,00:13:59
2016/05/14 12:12:45,1,0,false,false,false,7%,24192MV,193MA,00:14:29
2016/05/14 12:13:15,1,0,false,false,false,7%,24192MV,193MA,00:14:59
2016/05/14 12:13:45,1,0,false,false,false,7%,24192MV,193MA,00:15:29
2016/05/14 12:14:15,1,0,false,false,false,7%,24213MV,191MA,00:15:59
2016/05/14 12:14:45,1,0,false,false,false,7%,24213MV,193MA,00:16:29
2016/05/14 12:15:15,1,0,false,false,false,7%,24234MV,193MA,00:16:59
2016/05/14 12:15:45,1,0,false,false,false,7%,24234MV,193MA,00:17:29
2016/05/14 12:16:15,1,0,false,false,false,7%,24234MV,193MA,00:17:59
2016/05/14 12:16:45,1,0,false,false,false,7%,24255MV,193MA,00:18:29
2016/05/14 12:17:15,1,0,false,false,false,7%,24255MV,193MA,00:18:59
2016/05/14 12:17:45,1,0,false,false,false,7%,24255MV,193MA,00:19:29
2016/05/14 12:18:15,1,0,false,false,false,7%,24276MV,193MA,00:19:59
2016/05/14 12:18:45,1,0,false,false,false,7%,24276MV,193MA,00:20:29
2016/05/14 12:19:15,1,0,false,false,false,7%,24276MV,193MA,00:20:59
2016/05/14 12:19:45,1,0,false,false,false,7%,24276MV,193MA,00:21:29
2016/05/14 12:20:15,1,0,false,false,false,7%,24276MV,193MA,00:21:59
2016/05/14 12:20:45,1,0,false,false,false,7%,24297MV,193MA,00:22:29
2016/05/14 12:21:15,1,0,false,false,false,7%,24297MV,193MA,00:22:59
2016/05/14 12:21:45,1,0,false,false,false,7%,24318MV,193MA,00:23:29
2016/05/14 12:22:15,1,0,false,false,false,7%,24318MV,193MA,00:23:59
2016/05/14 12:22:45,1,0,false,false,false,7%,24318MV,193MA,00:24:29
2016/05/14 12:23:15,1,0,false,false,false,7%,24339MV,193MA,00:24:59
2016/05/14 12:23:45,1,0,false,false,false,7%,24339MV,193MA,00:25:29
