currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/15 00:33:03,0,20000,false,false,false,100%,26502MV,378MA,00:00:00
2016/05/15 00:33:31,0,20000,false,false,false,100%,26481MV,369MA,00:00:26
2016/05/15 00:33:33,0,20000,false,false,false,100%,26481MV,367MA,00:00:29
2016/05/15 00:34:01,0,20000,false,false,false,100%,26481MV,356MA,00:00:56
2016/05/15 00:34:03,0,20000,false,false,false,100%,26481MV,364MA,00:00:59
2016/05/15 00:34:31,0,20000,false,false,false,100%,26460MV,373MA,00:01:26
2016/05/15 00:34:33,0,20000,false,false,false,100%,26460MV,362MA,00:01:29
2016/05/15 00:35:01,0,20000,false,false,false,100%,26439MV,362MA,00:01:56
2016/05/15 00:35:03,0,20000,false,false,false,100%,26439MV,356MA,00:01:59
2016/05/15 00:35:31,0,20000,false,false,false,99%,26418MV,408MA,00:02:26
2016/05/15 00:35:33,0,20000,false,false,false,99%,26418MV,369MA,00:02:29
2016/05/15 00:36:01,0,20000,false,false,false,99%,26418MV,358MA,00:02:56
2016/05/15 00:36:03,0,20000,false,false,false,99%,26418MV,364MA,00:02:59
2016/05/15 00:36:31,0,20000,false,false,false,99%,26418MV,371MA,00:03:26
2016/05/15 00:36:33,0,20000,false,false,false,99%,26418MV,369MA,00:03:29
2016/05/15 00:37:01,0,20000,false,false,false,99%,26397MV,360MA,00:03:56
2016/05/15 00:37:03,0,20000,false,false,false,99%,26397MV,362MA,00:03:59
2016/05/15 00:37:31,0,20000,false,false,false,99%,26397MV,360MA,00:04:26
2016/05/15 00:37:33,0,20000,false,false,false,99%,26397MV,367MA,00:04:29
2016/05/15 00:38:01,0,20000,false,false,false,99%,26376MV,362MA,00:04:56
2016/05/15 00:38:03,0,20000,false,false,false,99%,26376MV,397MA,00:04:59
2016/05/15 00:38:31,0,20000,false,false,false,99%,26376MV,367MA,00:05:26
2016/05/15 00:38:33,0,20000,false,false,false,99%,26376MV,391MA,00:05:29
2016/05/15 00:39:01,0,20000,false,false,false,99%,26376MV,373MA,00:05:56
2016/05/15 00:39:03,0,20000,false,false,false,99%,26376MV,367MA,00:05:59
2016/05/15 00:39:31,0,20000,false,false,false,99%,26355MV,369MA,00:06:26
2016/05/15 00:39:33,0,20000,false,false,false,99%,26355MV,360MA,00:06:29
2016/05/15 00:40:01,0,20000,false,false,false,99%,26355MV,386MA,00:06:56
2016/05/15 00:40:03,0,20000,false,false,false,99%,26355MV,373MA,00:06:59
2016/05/15 00:40:31,0,20000,false,false,false,99%,26355MV,360MA,00:07:26
2016/05/15 00:40:33,0,20000,false,false,false,99%,26355MV,364MA,00:07:29
2016/05/15 00:41:01,0,20000,false,false,false,99%,26355MV,362MA,00:07:56
2016/05/15 00:41:03,0,20000,false,false,false,99%,26355MV,362MA,00:07:59
2016/05/15 00:41:31,0,20000,false,false,false,99%,26355MV,362MA,00:08:26
2016/05/15 00:41:33,0,20000,false,false,false,99%,26355MV,362MA,00:08:29
2016/05/15 00:42:01,0,20000,false,false,false,99%,26334MV,362MA,00:08:56
2016/05/15 00:42:03,0,20000,false,false,false,99%,26334MV,371MA,00:08:59
2016/05/15 00:42:31,0,20000,false,false,false,99%,26334MV,367MA,00:09:26
2016/05/15 00:42:33,0,20000,false,false,false,99%,26334MV,362MA,00:09:29
2016/05/15 00:43:01,0,20000,false,false,false,99%,26334MV,364MA,00:09:56
