currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/12 09:59:08,0,19000,false,true,false,97%,26124MV,518MA,00:00:00
2016/05/12 09:59:27,0,19000,false,true,false,97%,26082MV,595MA,00:00:17
2016/05/12 09:59:38,0,19000,false,true,false,97%,26082MV,613MA,00:00:29
2016/05/12 09:59:57,0,19000,false,true,false,97%,26082MV,613MA,00:00:47
2016/05/12 10:00:08,0,19000,false,true,false,97%,26082MV,591MA,00:00:59
2016/05/12 10:00:27,0,19000,false,true,false,97%,26082MV,595MA,00:01:17
2016/05/12 10:00:38,0,19000,false,true,false,97%,26082MV,595MA,00:01:29
2016/05/12 10:00:57,0,19000,false,true,false,97%,26061MV,595MA,00:01:47
2016/05/12 10:01:08,0,19000,false,true,false,97%,26061MV,606MA,00:01:59
2016/05/12 10:01:27,0,19000,false,true,false,97%,26061MV,604MA,00:02:17
2016/05/12 10:01:38,0,19000,false,true,false,97%,26061MV,591MA,00:02:29
2016/05/12 10:01:57,0,19000,false,true,false,97%,26082MV,584MA,00:02:47
2016/05/12 10:02:08,0,19000,false,true,false,97%,26061MV,593MA,00:02:59
2016/05/12 10:02:27,0,19000,false,true,false,97%,26061MV,602MA,00:03:17
2016/05/12 10:02:38,0,19000,false,true,false,97%,26061MV,595MA,00:03:29
2016/05/12 10:02:57,0,19000,false,true,false,97%,26061MV,589MA,00:03:47
2016/05/12 10:03:08,0,19000,false,true,false,97%,26061MV,604MA,00:03:59
2016/05/12 10:03:27,0,19000,false,true,false,97%,26061MV,589MA,00:04:17
2016/05/12 10:03:38,0,19000,false,true,false,97%,26061MV,608MA,00:04:29
2016/05/12 10:03:57,0,19000,false,true,false,97%,26061MV,597MA,00:04:47
2016/05/12 10:04:08,0,19000,false,true,false,97%,26061MV,610MA,00:04:59
2016/05/12 10:04:27,0,19000,false,true,false,97%,26061MV,593MA,00:05:17
2016/05/12 10:04:38,0,19000,false,true,false,97%,26061MV,613MA,00:05:29
2016/05/12 10:04:57,0,19000,false,true,false,97%,26061MV,610MA,00:05:47
2016/05/12 10:05:08,0,19000,false,true,false,97%,26061MV,602MA,00:05:59
2016/05/12 10:05:27,0,19000,false,true,false,97%,26061MV,606MA,00:06:17
2016/05/12 10:05:38,0,19000,false,true,false,97%,26061MV,600MA,00:06:29
2016/05/12 10:05:57,0,19000,false,true,false,97%,26061MV,608MA,00:06:47
2016/05/12 10:06:08,0,19000,false,true,false,97%,26061MV,602MA,00:06:59
2016/05/12 10:06:27,0,19000,false,true,false,97%,26061MV,604MA,00:07:17
2016/05/12 10:06:38,0,19000,false,true,false,97%,26061MV,597MA,00:07:29
2016/05/12 10:06:57,0,19000,false,true,false,97%,26061MV,600MA,00:07:47
2016/05/12 10:07:08,0,19000,false,true,false,97%,26061MV,593MA,00:07:59
2016/05/12 10:07:27,0,19000,false,true,false,97%,26061MV,606MA,00:08:17
2016/05/12 10:07:38,0,19000,false,true,false,97%,26061MV,600MA,00:08:29
2016/05/12 10:07:57,0,19000,false,true,false,97%,26061MV,591MA,00:08:47
2016/05/12 10:08:08,0,19000,false,true,false,97%,26061MV,604MA,00:08:59
2016/05/12 10:08:27,0,19000,false,true,false,97%,26061MV,610MA,00:09:17
2016/05/12 10:08:38,0,19000,false,true,false,97%,26061MV,586MA,00:09:29
2016/05/12 10:08:57,0,19000,false,true,false,97%,26061MV,584MA,00:09:47
2016/05/12 10:09:08,0,19000,false,true,false,97%,26061MV,604MA,00:09:59
2016/05/12 10:09:27,0,19000,false,true,false,97%,26061MV,597MA,00:10:17
