currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/14 12:28:05,1,0,false,false,false,0%,20454MV,189MA,00:00:00
2016/05/14 12:28:35,1,0,false,false,false,0%,20832MV,189MA,00:00:29
2016/05/14 12:29:05,1,0,false,false,false,0%,21042MV,186MA,00:00:59
2016/05/14 12:29:36,1,0,false,false,false,0%,21189MV,186MA,00:01:29
2016/05/14 12:30:06,1,0,false,false,false,0%,21294MV,186MA,00:01:59
2016/05/14 12:30:36,1,0,false,false,false,0%,21399MV,189MA,00:02:29
2016/05/14 12:31:06,1,0,false,false,false,0%,21504MV,186MA,00:02:59
2016/05/14 12:31:36,1,0,false,false,false,0%,21630MV,186MA,00:03:29
2016/05/14 12:32:06,1,0,false,false,false,0%,21840MV,186MA,00:03:59
2016/05/14 12:32:36,1,0,false,false,false,0%,22113MV,186MA,00:04:29
2016/05/14 12:33:06,1,0,false,false,false,0%,22323MV,186MA,00:04:59
2016/05/14 12:33:36,1,0,false,false,false,0%,22512MV,186MA,00:05:29
2016/05/14 12:34:06,1,0,false,false,false,0%,22659MV,186MA,00:05:59
2016/05/14 12:34:36,1,0,false,false,false,0%,22743MV,186MA,00:06:29
2016/05/14 12:35:06,1,0,false,false,false,0%,22848MV,189MA,00:06:59
2016/05/14 12:35:36,1,0,false,false,false,0%,22953MV,189MA,00:07:29
2016/05/14 12:36:06,1,0,false,false,false,0%,23058MV,186MA,00:07:59
2016/05/14 12:36:36,1,0,false,false,false,0%,23163MV,189MA,00:08:29
2016/05/14 12:37:06,1,0,false,false,false,7%,23268MV,186MA,00:08:59
2016/05/14 12:37:36,1,0,false,false,false,7%,23373MV,186MA,00:09:29
2016/05/14 12:38:06,1,0,false,false,false,7%,23478MV,189MA,00:09:59
2016/05/14 12:38:36,1,0,false,false,false,7%,23583MV,186MA,00:10:29
2016/05/14 12:39:06,1,0,false,false,false,7%,23667MV,186MA,00:10:59
2016/05/14 12:39:36,1,0,false,false,false,7%,23772MV,186MA,00:11:29
2016/05/14 12:40:06,1,0,false,false,false,7%,23856MV,189MA,00:11:59
2016/05/14 12:40:36,1,0,false,false,false,7%,23919MV,189MA,00:12:29
2016/05/14 12:41:06,1,0,false,false,false,7%,23982MV,186MA,00:12:59
2016/05/14 12:41:36,1,0,false,false,false,7%,24045MV,189MA,00:13:29
2016/05/14 12:42:06,1,0,false,false,false,7%,24066MV,189MA,00:13:59
2016/05/14 12:42:36,1,0,false,false,false,7%,24087MV,189MA,00:14:29
2016/05/14 12:43:06,1,0,false,false,false,7%,24087MV,189MA,00:14:59
2016/05/14 12:43:36,1,0,false,false,false,7%,24087MV,186MA,00:15:29
2016/05/14 12:44:06,1,0,false,false,false,7%,24087MV,186MA,00:15:59
2016/05/14 12:44:36,1,0,false,false,false,7%,24087MV,189MA,00:16:29
2016/05/14 12:45:06,1,0,false,false,false,7%,24087MV,189MA,00:16:59
2016/05/14 12:45:36,1,0,false,false,false,7%,24087MV,186MA,00:17:29
2016/05/14 12:46:06,1,0,false,false,false,7%,24087MV,189MA,00:17:59
2016/05/14 12:46:36,1,0,false,false,false,7%,24087MV,189MA,00:18:29
2016/05/14 12:47:06,1,0,false,false,false,7%,24087MV,189MA,00:18:59
2016/05/14 12:47:36,1,0,false,false,false,7%,24087MV,189MA,00:19:29
2016/05/14 12:48:06,1,0,false,false,false,7%,24087MV,186MA,00:19:59
2016/05/14 12:48:36,1,0,false,false,false,7%,24087MV,189MA,00:20:29
2016/05/14 12:49:06,1,0,false,false,false,7%,24087MV,189MA,00:20:59
2016/05/14 12:49:36,1,0,false,false,false,7%,24087MV,189MA,00:21:29
2016/05/14 12:50:06,1,0,false,false,false,7%,24087MV,186MA,00:21:59
2016/05/14 12:50:36,1,0,false,false,false,7%,24087MV,189MA,00:22:29
2016/05/14 12:51:06,1,0,false,false,false,7%,24087MV,186MA,00:22:59
2016/05/14 12:51:36,1,0,false,false,false,7%,24087MV,189MA,00:23:29
2016/05/14 12:52:06,1,0,false,false,false,7%,24108MV,189MA,00:23:59
2016/05/14 12:52:36,1,0,false,false,false,7%,24108MV,189MA,00:24:29
2016/05/14 12:53:06,1,0,false,false,false,7%,24108MV,189MA,00:24:59
2016/05/14 12:53:36,1,0,false,false,false,7%,24108MV,189MA,00:25:29
2016/05/14 12:54:06,1,0,false,false,false,7%,24108MV,189MA,00:25:59
2016/05/14 12:54:36,1,0,false,false,false,7%,24108MV,189MA,00:26:29
2016/05/14 12:55:06,1,0,false,false,false,7%,24129MV,189MA,00:26:59
2016/05/14 12:55:36,1,0,false,false,false,7%,24129MV,189MA,00:27:29
2016/05/14 12:56:06,1,0,false,false,false,7%,24129MV,189MA,00:27:59
2016/05/14 12:56:36,1,0,false,false,false,7%,24129MV,189MA,00:28:29
2016/05/14 12:57:06,1,0,false,false,false,7%,24129MV,189MA,00:28:59
2016/05/14 12:57:36,1,0,false,false,false,7%,24129MV,189MA,00:29:29
2016/05/14 12:58:06,1,0,false,false,false,7%,24129MV,189MA,00:29:59
2016/05/14 12:58:36,1,0,false,false,false,7%,24129MV,189MA,00:30:29
2016/05/14 12:59:06,1,0,false,false,false,7%,24150MV,189MA,00:30:59
2016/05/14 12:59:36,1,0,false,false,false,7%,24150MV,189MA,00:31:29
2016/05/14 13:00:06,1,0,false,false,false,7%,24150MV,189MA,00:31:59
2016/05/14 13:00:36,1,0,false,false,false,7%,24150MV,189MA,00:32:29
2016/05/14 13:01:06,1,0,false,false,false,7%,24171MV,189MA,00:32:59
2016/05/14 13:01:36,1,0,false,false,false,7%,24171MV,189MA,00:33:29
2016/05/14 13:02:06,1,0,false,false,false,7%,24171MV,189MA,00:33:59
2016/05/14 13:02:36,1,0,false,false,false,7%,24171MV,189MA,00:34:29
2016/05/14 13:03:06,1,0,false,false,false,7%,24192MV,189MA,00:34:59
2016/05/14 13:03:36,1,0,false,false,false,7%,24192MV,189MA,00:35:29
2016/05/14 13:04:06,1,0,false,false,false,7%,24192MV,189MA,00:35:59
2016/05/14 13:04:36,1,0,false,false,false,7%,24192MV,189MA,00:36:29
2016/05/14 13:05:06,1,0,false,false,false,7%,24192MV,189MA,00:36:59
2016/05/14 13:05:36,1,0,false,false,false,7%,24192MV,189MA,00:37:29
2016/05/14 13:06:06,1,0,false,false,false,7%,24213MV,189MA,00:37:59
2016/05/14 13:06:36,1,0,false,false,false,7%,24213MV,191MA,00:38:29
2016/05/14 13:07:06,1,0,false,false,false,7%,24213MV,189MA,00:38:59
2016/05/14 13:07:36,1,0,false,false,false,7%,24234MV,189MA,00:39:29
2016/05/14 13:08:06,1,0,false,false,false,7%,24234MV,189MA,00:39:59
2016/05/14 13:08:36,1,0,false,false,false,7%,24234MV,189MA,00:40:29
2016/05/14 13:09:06,1,0,false,false,false,7%,24234MV,189MA,00:40:59
2016/05/14 13:09:36,1,0,false,false,false,7%,24255MV,189MA,00:41:29
2016/05/14 13:10:06,1,0,false,false,false,7%,24255MV,189MA,00:41:59
2016/05/14 13:10:36,1,0,false,false,false,7%,24255MV,189MA,00:42:29
2016/05/14 13:11:06,1,0,false,false,false,7%,24276MV,189MA,00:42:59
2016/05/14 13:11:36,1,0,false,false,false,7%,24276MV,189MA,00:43:29
2016/05/14 13:12:06,1,0,false,false,false,7%,24276MV,189MA,00:43:59
2016/05/14 13:12:36,1,0,false,false,false,7%,24276MV,189MA,00:44:29
2016/05/14 13:13:06,1,0,false,false,false,7%,24276MV,189MA,00:44:59
2016/05/14 13:13:36,1,0,false,false,false,7%,24276MV,189MA,00:45:29
2016/05/14 13:14:06,1,0,false,false,false,7%,24297MV,189MA,00:45:59
2016/05/14 13:14:36,1,0,false,false,false,7%,24297MV,189MA,00:46:29
2016/05/14 13:15:06,1,0,false,false,false,7%,24318MV,189MA,00:46:59
2016/05/14 13:15:36,1,0,false,false,false,7%,24318MV,189MA,00:47:29
2016/05/14 13:16:06,1,0,false,false,false,7%,24318MV,189MA,00:47:59
2016/05/14 13:16:36,1,0,false,false,false,7%,24318MV,189MA,00:48:29
2016/05/14 13:17:06,1,0,false,false,false,7%,24318MV,189MA,00:48:59
2016/05/14 13:17:36,1,0,false,false,false,7%,24339MV,189MA,00:49:29
2016/05/14 13:18:06,1,0,false,false,false,7%,24339MV,189MA,00:49:59
2016/05/14 13:18:36,1,0,false,false,false,7%,24360MV,189MA,00:50:29
2016/05/14 13:19:06,1,0,false,false,false,7%,24360MV,189MA,00:50:59
2016/05/14 13:19:36,1,0,false,false,false,7%,24360MV,189MA,00:51:29
2016/05/14 13:20:06,1,0,false,false,false,7%,24360MV,189MA,00:51:59
2016/05/14 13:20:36,1,0,false,false,false,7%,24360MV,189MA,00:52:29
2016/05/14 13:21:06,1,0,false,false,false,7%,24360MV,189MA,00:52:59
2016/05/14 13:21:36,1,0,false,false,false,7%,24381MV,189MA,00:53:29
2016/05/14 13:22:06,1,0,false,false,false,7%,24381MV,189MA,00:53:59
2016/05/14 13:22:36,1,0,false,false,false,7%,24381MV,189MA,00:54:29
2016/05/14 13:23:06,1,0,false,false,false,7%,24402MV,189MA,00:54:59
2016/05/14 13:23:36,1,0,false,false,false,7%,24402MV,189MA,00:55:29
2016/05/14 13:24:06,1,0,false,false,false,7%,24402MV,189MA,00:55:59
2016/05/14 13:24:36,1,0,false,false,false,7%,24423MV,189MA,00:56:29
2016/05/14 13:25:06,1,0,false,false,false,7%,24423MV,189MA,00:56:59
2016/05/14 13:25:36,1,0,false,false,false,7%,24423MV,189MA,00:57:29
2016/05/14 13:26:06,1,0,false,false,false,7%,24423MV,189MA,00:57:59
2016/05/14 13:26:36,1,0,false,false,false,7%,24423MV,189MA,00:58:29
2016/05/14 13:27:06,1,0,false,false,false,7%,24423MV,189MA,00:58:59
2016/05/14 13:27:36,1,0,false,false,false,7%,24444MV,189MA,00:59:29
2016/05/14 13:28:06,1,0,false,false,false,7%,24444MV,189MA,00:59:59
2016/05/14 13:28:36,1,0,false,false,false,7%,24444MV,189MA,01:00:29
2016/05/14 13:29:06,1,0,false,false,false,7%,24465MV,189MA,01:00:59
2016/05/14 13:29:36,1,0,false,false,false,7%,24465MV,189MA,01:01:29
2016/05/14 13:30:06,1,0,false,false,false,7%,24465MV,189MA,01:01:59
2016/05/14 13:30:36,1,0,false,false,false,7%,24486MV,189MA,01:02:29
2016/05/14 13:31:06,1,0,false,false,false,7%,24486MV,189MA,01:02:59
2016/05/14 13:31:36,1,0,false,false,false,7%,24486MV,189MA,01:03:29
2016/05/14 13:32:06,1,0,false,false,false,7%,24486MV,189MA,01:03:59
2016/05/14 13:32:36,1,0,false,false,false,7%,24507MV,189MA,01:04:29
2016/05/14 13:33:06,1,0,false,false,false,7%,24507MV,189MA,01:04:59
