currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/15 00:32:15,0,20000,false,false,false,99%,26334MV,189MA,00:00:00
2016/05/15 00:32:21,0,20000,false,false,false,99%,26334MV,189MA,00:00:06
2016/05/15 00:32:45,0,20000,false,false,false,98%,26292MV,191MA,00:00:29
2016/05/15 00:32:51,0,20000,false,false,false,98%,26271MV,191MA,00:00:36
2016/05/15 00:33:15,0,20000,false,false,false,98%,26250MV,189MA,00:00:59
2016/05/15 00:33:21,0,20000,false,false,false,98%,26250MV,191MA,00:01:06
2016/05/15 00:33:45,0,20000,false,false,false,98%,26250MV,191MA,00:01:29
2016/05/15 00:33:51,0,20000,false,false,false,98%,26229MV,191MA,00:01:36
2016/05/15 00:34:15,0,20000,false,false,false,98%,26208MV,189MA,00:01:59
2016/05/15 00:34:21,0,20000,false,false,false,98%,26208MV,189MA,00:02:06
2016/05/15 00:34:45,0,20000,false,false,false,98%,26208MV,191MA,00:02:29
2016/05/15 00:34:51,0,20000,false,false,false,98%,26187MV,191MA,00:02:36
2016/05/15 00:35:15,0,20000,false,false,false,98%,26187MV,189MA,00:02:59
2016/05/15 00:35:21,0,20000,false,false,false,98%,26187MV,191MA,00:03:06
2016/05/15 00:35:45,0,20000,false,false,false,98%,26166MV,195MA,00:03:29
2016/05/15 00:35:51,0,20000,false,false,false,98%,26166MV,191MA,00:03:36
2016/05/15 00:36:15,0,20000,false,false,false,98%,26166MV,191MA,00:03:59
2016/05/15 00:36:21,0,20000,false,false,false,98%,26166MV,191MA,00:04:06
2016/05/15 00:36:45,0,20000,false,false,false,98%,26166MV,191MA,00:04:29
2016/05/15 00:36:51,0,20000,false,false,false,97%,26145MV,191MA,00:04:36
2016/05/15 00:37:15,0,20000,false,false,false,97%,26145MV,191MA,00:04:59
2016/05/15 00:37:21,0,20000,false,false,false,97%,26145MV,191MA,00:05:06
2016/05/15 00:37:45,0,20000,false,false,false,97%,26145MV,189MA,00:05:29
2016/05/15 00:37:51,0,20000,false,false,false,97%,26145MV,189MA,00:05:36
2016/05/15 00:38:15,0,20000,false,false,false,97%,26124MV,189MA,00:05:59
2016/05/15 00:38:21,0,20000,false,false,false,97%,26124MV,191MA,00:06:06
2016/05/15 00:38:45,0,20000,false,false,false,97%,26124MV,191MA,00:06:29
2016/05/15 00:38:51,0,20000,false,false,false,97%,26124MV,191MA,00:06:36
2016/05/15 00:39:15,0,20000,false,false,false,97%,26124MV,191MA,00:06:59
2016/05/15 00:39:21,0,20000,false,false,false,97%,26124MV,189MA,00:07:06
2016/05/15 00:39:45,0,20000,false,false,false,97%,26124MV,191MA,00:07:29
2016/05/15 00:39:51,0,20000,false,false,false,97%,26103MV,191MA,00:07:36
2016/05/15 00:40:15,0,20000,false,false,false,97%,26103MV,191MA,00:07:59
2016/05/15 00:40:21,0,20000,false,false,false,97%,26103MV,191MA,00:08:06
2016/05/15 00:40:45,0,20000,false,false,false,97%,26103MV,191MA,00:08:29
2016/05/15 00:40:51,0,20000,false,false,false,97%,26103MV,191MA,00:08:36
2016/05/15 00:41:15,0,20000,false,false,false,97%,26103MV,191MA,00:08:59
2016/05/15 00:41:21,0,20000,false,false,false,97%,26124MV,186MA,00:09:06
2016/05/15 00:41:45,0,20000,false,false,false,97%,26145MV,189MA,00:09:29
2016/05/15 00:41:51,0,20000,false,false,false,97%,26145MV,186MA,00:09:36
2016/05/15 00:42:15,0,20000,false,false,false,97%,26145MV,186MA,00:09:59
2016/05/15 00:42:21,0,20000,false,false,false,97%,26145MV,186MA,00:10:06
2016/05/15 00:42:45,0,20000,false,false,false,97%,26145MV,186MA,00:10:29
2016/05/15 00:42:51,0,20000,false,false,false,97%,26145MV,186MA,00:10:36
2016/05/15 00:43:15,0,20000,false,false,false,97%,26145MV,186MA,00:10:59
2016/05/15 00:43:21,0,20000,false,false,false,97%,26145MV,186MA,00:11:06
2016/05/15 00:43:45,0,20000,false,false,false,97%,26124MV,189MA,00:11:29
2016/05/15 00:43:51,0,20000,false,false,false,97%,26145MV,189MA,00:11:36
2016/05/15 00:44:15,0,20000,false,false,false,97%,26145MV,189MA,00:11:59
2016/05/15 00:44:21,0,20000,false,false,false,97%,26124MV,189MA,00:12:06
2016/05/15 00:44:45,0,20000,false,false,false,97%,26145MV,189MA,00:12:29
2016/05/15 00:44:51,0,20000,false,false,false,97%,26145MV,189MA,00:12:36
2016/05/15 00:45:15,0,20000,false,false,false,97%,26124MV,186MA,00:12:59
2016/05/15 00:45:21,0,20000,false,false,false,97%,26124MV,186MA,00:13:06
2016/05/15 00:45:45,0,20000,false,false,false,97%,26124MV,189MA,00:13:29
2016/05/15 00:45:51,0,20000,false,false,false,97%,26124MV,189MA,00:13:36
2016/05/15 00:46:15,0,20000,false,false,false,97%,26124MV,186MA,00:13:59
2016/05/15 00:46:21,0,20000,false,false,false,97%,26124MV,189MA,00:14:06
2016/05/15 00:46:45,0,20000,false,false,false,97%,26124MV,189MA,00:14:29
2016/05/15 00:46:51,0,20000,false,false,false,97%,26124MV,186MA,00:14:36
2016/05/15 00:47:15,0,20000,false,false,false,97%,26124MV,189MA,00:14:59
2016/05/15 00:47:21,0,20000,false,false,false,97%,26124MV,186MA,00:15:06
2016/05/15 00:47:45,0,20000,false,false,false,97%,26124MV,186MA,00:15:29
2016/05/15 00:47:51,0,20000,false,false,false,97%,26124MV,186MA,00:15:36
2016/05/15 00:48:15,0,20000,false,false,false,97%,26124MV,186MA,00:15:59
2016/05/15 00:48:21,0,20000,false,false,false,97%,26124MV,186MA,00:16:06
2016/05/15 00:48:45,0,20000,false,false,false,97%,26103MV,186MA,00:16:29
2016/05/15 00:48:51,0,20000,false,false,false,97%,26124MV,189MA,00:16:36
2016/05/15 00:49:15,0,20000,false,false,false,97%,26103MV,186MA,00:16:59
2016/05/15 00:49:21,0,20000,false,false,false,97%,26103MV,189MA,00:17:06
2016/05/15 00:49:45,0,20000,false,false,false,97%,26124MV,186MA,00:17:29
2016/05/15 00:49:51,0,20000,false,false,false,97%,26103MV,186MA,00:17:36
2016/05/15 00:50:15,0,20000,false,false,false,97%,26103MV,186MA,00:17:59
2016/05/15 00:50:21,0,20000,false,false,false,97%,26103MV,186MA,00:18:06
2016/05/15 00:50:45,0,20000,false,false,false,97%,26103MV,189MA,00:18:29
2016/05/15 00:50:51,0,20000,false,false,false,97%,26103MV,186MA,00:18:36
2016/05/15 00:51:15,0,20000,false,false,false,97%,26103MV,186MA,00:18:59
2016/05/15 00:51:21,0,20000,false,false,false,97%,26103MV,186MA,00:19:06
2016/05/15 00:51:45,0,20000,false,false,false,97%,26103MV,189MA,00:19:29
2016/05/15 00:51:51,0,20000,false,false,false,97%,26103MV,186MA,00:19:36
2016/05/15 00:52:15,0,20000,false,false,false,97%,26103MV,186MA,00:19:59
2016/05/15 00:52:21,0,20000,false,false,false,97%,26103MV,186MA,00:20:06
2016/05/15 00:52:45,0,20000,false,false,false,97%,26103MV,186MA,00:20:29
2016/05/15 00:52:51,0,20000,false,false,false,97%,26103MV,186MA,00:20:36
2016/05/15 00:53:15,0,20000,false,false,false,97%,26103MV,186MA,00:20:59
2016/05/15 00:53:21,0,20000,false,false,false,97%,26103MV,186MA,00:21:06
2016/05/15 00:53:45,0,20000,false,false,false,97%,26103MV,186MA,00:21:29
2016/05/15 00:53:51,0,20000,false,false,false,97%,26103MV,189MA,00:21:36
2016/05/15 00:54:15,0,20000,false,false,false,97%,26103MV,189MA,00:21:59
2016/05/15 00:54:21,0,20000,false,false,false,97%,26103MV,186MA,00:22:06
2016/05/15 00:54:45,0,20000,false,false,false,97%,26103MV,186MA,00:22:29
2016/05/15 00:54:51,0,20000,false,false,false,97%,26103MV,186MA,00:22:36
2016/05/15 00:55:15,0,20000,false,false,false,97%,26103MV,186MA,00:22:59
2016/05/15 00:55:21,0,20000,false,false,false,97%,26103MV,189MA,00:23:06
2016/05/15 00:55:45,0,20000,false,false,false,97%,26103MV,186MA,00:23:29
2016/05/15 00:55:51,0,20000,false,false,false,97%,26103MV,186MA,00:23:36
2016/05/15 00:56:15,0,20000,false,false,false,97%,26103MV,189MA,00:23:59
2016/05/15 00:56:21,0,20000,false,false,false,97%,26103MV,186MA,00:24:06
2016/05/15 00:56:45,0,20000,false,false,false,97%,26103MV,186MA,00:24:29
2016/05/15 00:56:51,0,20000,false,false,false,97%,26103MV,186MA,00:24:36
2016/05/15 00:57:15,0,20000,false,false,false,97%,26103MV,186MA,00:24:59
2016/05/15 00:57:21,0,20000,false,false,false,97%,26103MV,186MA,00:25:06
2016/05/15 00:57:45,0,20000,false,false,false,97%,26082MV,186MA,00:25:29
2016/05/15 00:57:51,0,20000,false,false,false,97%,26103MV,186MA,00:25:36
2016/05/15 00:58:15,0,20000,false,false,false,97%,26103MV,189MA,00:25:59
2016/05/15 00:58:21,0,20000,false,false,false,97%,26103MV,186MA,00:26:06
2016/05/15 00:58:45,0,20000,false,false,false,97%,26103MV,186MA,00:26:29
2016/05/15 00:58:51,0,20000,false,false,false,97%,26082MV,186MA,00:26:36
2016/05/15 00:59:15,0,20000,false,false,false,97%,26103MV,186MA,00:26:59
2016/05/15 00:59:21,0,20000,false,false,false,97%,26082MV,186MA,00:27:06
2016/05/15 00:59:45,0,20000,false,false,false,97%,26082MV,186MA,00:27:29
2016/05/15 00:59:51,0,20000,false,false,false,97%,26082MV,186MA,00:27:36
2016/05/15 01:00:15,0,20000,false,false,false,97%,26082MV,186MA,00:27:59
2016/05/15 01:00:21,0,20000,false,false,false,97%,26082MV,186MA,00:28:06
2016/05/15 01:00:45,0,20000,false,false,false,97%,26082MV,189MA,00:28:29
2016/05/15 01:00:51,0,20000,false,false,false,97%,26082MV,189MA,00:28:36
2016/05/15 01:01:15,0,20000,false,false,false,97%,26082MV,186MA,00:28:59
2016/05/15 01:01:21,0,20000,false,false,false,97%,26082MV,186MA,00:29:06
